Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
American Samoa,ASM,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,80.54920197,79.39814758,,,,,,,,,,,,,,,,82.00637054,,,,,,,,,,,,,,,,110.0135269,100.9320908,104.8556366,98.1554718,,108.5434189,101.7118378,91.02749634,90.10189056,96.62757111,98.96450043,101.7883759,,
Australia,AUS,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,AUT,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,95.71383667,97.68052673,97.93560028,,,,,,,,,,,,,,,,,,,,,,,,,100.7425613,101.1429062,,,99.84864044,,98.29582977,,,,,,,96.20503235,97.21524811,97.05647278,99.0087738,99.93681335,99.59905243,100.0429001,99.81427002,99.65705872,100.0383682,
Azerbaijan,AZE,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.07942963,91.61665344,95.12796021,85.85388947,97.25411987,94.49771881,91.76931763,85.49742889,93.98149872,100.9912262,90.24809265,94.85749817,89.6128006,90.931427,98.49185181,89.71559906,91.42843628,88.97885132,92.18356323,91.59458923,86.54667664,97.61051941,101.6183319,109.7202072,107.6183777,100.6412125,100.3731613,100.5714417,94.94953156
Burundi,BDI,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,2.977730036,,6.556910038,7.2667799,7.918200016,7.723509789,7.779839993,8.074410439,8.415390015,8.578260422,8.699709892,10.51832962,14.29825974,19.50168037,19.86483955,21.16773033,20.66772079,29.53869057,26.62886047,33.59183884,42.20251846,42.19363022,45.31246185,,,,,,,22.14348984,22.11833954,22.25995064,25.18434906,25.74208069,29.60235023,,35.40185928,38.65555954,46.69729996,50.3758316,56.40348816,64.5491333,74.14279175,74.30271912,69.50148773,73.10591125,73.53195953,67.89185333,64.48310852,57.07822037,57.07822037
Belgium,BEL,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,69.20464325,70.31040192,71.26571655,74.02082062,74.43074799,69.30526733,69.97360229,76.19699097,80.4278717,74.53455353,77.89627838,75.84951019,74.51908875,73.73841095,75.56976318,,,82.71797943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,10.03629017,11.96335983,12.29549026,11.36728001,13.12827015,14.38663006,13.62222004,15.55473995,17.08526993,19.65253067,18.33161926,21.4445591,20.25564957,18.27642059,20.22237015,18.47147942,17.80018044,16.80736923,16.71563911,11.44952965,13.67123985,13.5991497,14.91378021,16.31611061,19.49254036,20.33333015,22.09300995,24.03697968,,26.03679085,29.05467033,30.6940403,35.17987823,40.43289948,,,,53.49988937,,58.19506836,64.07581329,65.53871155,71.55158997,73.55081177,76.10626221,76.03179932,,,61.15882111,59.45426178,69.86833191
Burkina Faso,BFA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,4.74338007,4.602419853,4.921830177,5.016689777,5.547910213,5.447390079,6.354599953,6.354990005,6.863470078,6.722300053,7.290500164,7.522990227,8.205739975,9.477330208,10.10116005,,11.58627033,12.41934967,12.17051029,14.23159981,15.12520981,21.70018959,19.46670914,20.49410057,15.28254032,18.03737068,,,19.20853996,20.87018967,21.61343956,22.8392601,24.79711914,26.16308975,27.46569061,28.8702507,30.68523026,34.31216812,40.44662094,44.11442184,50.94448853,56.03268051,62.51211929,62.71221924,63.55690002,64.06780243,66.35379028,68.46311188,68.26204681,69.43546295,72.25675201
Bangladesh,BGD,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,29.57921028,,,,,22.12022018,,,,,,,,,,,,,,,,,,,,,,,,68.86966705,,,61.98920822,68.49994659,71.76451874,114.7903214,,,,,,,,,,124.7156296
Bulgaria,BGR,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6533127,102.1669235,102.8368378,102.1169968,99.11634827,91.26589203,87.26235199,85.88748169,88.31964874,87.75350189,90.39154053,94.24999237,93.33820343,94.84747314,95.69367981,100.595047,95.85656738,96.64618683,98.15389252,99.04257202,99.49169159,100.8870392,94.07800293,101.9226227,113.7689819,110.0030975,101.2688828,98.25095367,97.65895081,95.77265167,91.75952911,89.12432861,86.13657379,84.49420929,88.25637817,
Bahrain,BHR,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,81.91488647,84.14321899,88.82141876,89.36850739,89.32013702,93.72104645,99.87428284,107.4236908,,104.9586792,100.920929,98.83267975,96.45346069,96.73278809,94.08551788,,95.69529724,99.20014954,99.21173096,98.85118103,100.9497986,100.2469101,105.3519821,104.7388229,,,,,,91.9508667,93.60653687,92.93045807,96.31266785,100.2344208,103.0401001,100.3845291,99.27617645,97.32035065,,
"Bahamas, The",BHS,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.24633026,,,,,,102.0649033,93.48459625,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.50530243,76.55922699,79.50567627,92.65428925,100.5719986,92.8212204,88.90313721,84.90886688,,,
Belarus,BLR,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.34129333,97.07527924,94.1319809,94.42917633,93.99609375,,98.2745285,102.1934814,106.3569565,132.1580811,103.2758408,100.9030991,96.38334656,95.87581635,95.43003845,98.89353943,,,107.4222031,103.8481827,100.0970078,98.75614166,96.520401,97.59322357,101.4563675,104.6449509,108.3353271,98.42289734,93.80612183
Belize,BLZ,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.56474304,,,89.43811798,95.0565033,,,98.05757904,97.40303802,102.0388336,,99.14868164,97.62892914,97.83486938,95.9573288,101.3972626,95.51557159,101.2159729,98.27541351,104.6137924,109.0023117,101.5804214,100.7384796,103.5659332,105.7046127,102.4268036,104.1176529,103.0827484,104.4137573,104.477211
Bermuda,BMU,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,72.80404663,,,,,,,,,,,,,,,,,,,,,,,,,,92.52336121,100.9411774,97.87233734,,,,,,,,88.29786682,84.55284882,97.5138092,,,,,,,,
Bolivia,BOL,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.55014038,97.19909668,97.91980743,94.89639282,90.85175323,88.31674194,89.59416199,91.03054047,94.22058868,91.63172913,93.19348907,
Brazil,BRA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.57028198,96.38735962,105.9292526,103.8902664,106.9964981,95.13297272,92.49111938,90.64115906,92.28346252,95.6359787,97.63440704,98.16712189,99.03485107,,,,,,,89.92072296,91.58016205,98.75959778,99.81729889
Brunei Darussalam,BRN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,104.7537231,104.0906601,111.6666718,93.79968262,106.6666718,101.8819885,106.330368,99.0430603,86.60838318,91.75946808,77.34710693,85.76779175,53.96697998,,131.2647247,,,,,,,,,,,109.1031723,111.9974136,111.8548584,109.9019012,112.9494171,111.0741272,114.0878983,110.1979599,110.6682587,107.9454498,107.3213806,105.1139679,101.7201233,104.5361404,110.2836914,106.4958267,105.8717804,100.1509171,103.2565308,107.2468338,106.383667,108.1781921,101.3495255,104.7413788,
Bhutan,BTN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,4.280409813,4.851920128,,,,,,,,,,,,,,20.03676033,24.53894043,,,,41.04642105,45.78506088,47.52050018,48.17657852,,,,,71.235672,,81.61457825,84.72789764,92.71708679,91.99891663,101.0603104,98.83981323,101.9738693,101.8021927,105.9708023,104.4897385,92.5732193,82.61394501,88.11412811,94.59039307
Botswana,BWA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,44.20317078,50.88343811,58.2248497,,,,,,,79.79728699,,93.25971985,96.46109772,87.65048981,87.8637085,95.07010651,103.8265533,104.8955688,100.0826263,99.13139343,101.3845978,102.2027435,102.6006699,101.4887314,107.6001663,102.897522,104.2487106,,102.1678085,100.1178284,99.26946259,102.1231995,102.2086868,101.9077377,100.8682404,101.6937866,104.9809494,100.5171204,101.3824921,101.8974228,,,102.9921188,102.3818436,,95.14150238,,,,,,
Central African Republic,CAF,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,11.04706955,12.95792007,15.47799015,14.50671005,17.16601944,18.71306038,,19.47382927,,,18.48126984,18.05520058,15.81904984,,,27.36655998,20.09536934,21.28013039,19.90465927,19.6884594,20.29977989,15.94618988,,,,,,,,,,,,17.54550934,19.50337982,20.21845055,,25.9974308,28.48298073,28.98207092,31.53236008,33.57921982,,,,32.83420181,44.77569962,,,,
Canada,CAN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.06452179,96.55122375,97.89160156,,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,CEB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5968399,93.24716949,91.27932739,91.33560944,91.90545654,92.25064087,92.84284973,94.91262817,96.73203278,96.25811768,95.56732178,95.68470001,97.25926971,96.57568359,97.18013,98.4967804,97.40351105,96.10877228,95.46383667,94.50662231,95.6939621,97.11953735,97.34693146,96.42529297,97.07572937,96.95639801,97.98145294,97.89942169,98.93097687,93.07508087,93.24623108,93.79022217,
Switzerland,CHE,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,52.92633057,59.64400864,57.59915161,55.84957123,53.02619934,52.37345886,52.83414841,52.29898071,50.95598984,50.36306,50.21049881,49.17475128,50.80881119,51.71511078,54.03435898,55.92213058,60.71253967,61.81707001,,73.19423676,,,97.26512909,98.45278168,99.11660767,99.68643951,100.1779175,101.0084229,98.35365295,95.28514862,94.50801849,95.42902374,97.82582092,97.83719635,97.89385223,98.77570343,97.40299225,96.35060883,97.02372742,97.66938782,98.73052979,96.77362061,97.30728149,99.83828735,
Channel Islands,CHI,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,80.02722931,87.74862671,92.2013092,93.85871124,91.89621735,92.264328,94.50874329,91.18286133,,,,,,98.16339111,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.82259369,98.91620636,98.27723694,98.89923096,96.83778381,94.91738129,94.13012695,95.7505722,97.69400024,100.9758911,
China,CHN,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.37236023,88.26853943,,,,,,,,,91.41940308,93.01660919,98.7820816,97.66327667,,,,,,,,,,,,
Cote d'Ivoire,CIV,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,23.23011971,23.80002022,,31.20166016,34.14640045,35.72510147,37.02487946,39.78126907,43.64448929,,41.46598053,40.15943909,36.45151138,35.57387161,36.14302826,35.52114868,34.53900146,32.27518082,33.80902863,31.67626953,32.77629089,33.55340958,32.24406052,33.21258163,31.05999947,32.3875618,,33.43849182,38.97462845,,,,,33.1740799,36.55606079,,37.91007996,,47.14712143,46.50365067,46.73023987,48.2264595,54.33404922,58.38893127,64.68260956,69.3493576,75.1386795,78.98805237,82.16932678
Cameroon,CMR,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,38.7714386,38.80416107,40.89273834,42.71331024,44.21615982,54.01448059,45.96244049,45.32661819,45.78874969,45.38589859,45.93901062,47.5118103,48.95167923,49.26617813,50.92443848,49.72040176,,54.23118973,50.93682098,,,,,,,,44.2490387,46.06726837,,,52.2285881,53.38417053,,46.73495102,49.06391144,64.02787781,63.81069183,65.97015381,65.22852325,68.93682861,,68.33538055,70.17028809,69.4474411,64.69407654,61.21667862,62.36500168,,
"Congo, Dem. Rep.",COD,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,21.06776047,23.05196953,,,,34.50054169,38.14191818,41.64546967,,43.12559891,46.38616943,48.26350021,51.93891907,55.7389183,,,,36.61256027,,,38.95988083,36.20647049,45.26673126,37.1754303,,,,,32.25812912,,,34.29204941,,,,,44.78392029,49.6905899,51.79491043,54.74396133,54.94470978,60.60848999,62.68452072,61.76708984,70.33310699,,,,,77.78144073,
"Congo, Rep.",COG,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,48.8716507,57.59514999,46.65050888,56.41666031,60.5847702,63.29452896,64.87519836,71.2414093,73.26270294,73.96053314,72.79457855,69.82512665,71.23032379,70.17675781,72.28994751,73.66494751,73.03800201,67.02896881,58.22999954,49.68729019,61.991539,62.23353958,52.65005875,,49.63282013,,,31.97122955,,56.52230072,58.63912964,54.23508835,76.83692932,67.5628891,72.29998779,71.84729004,67.14189911,65.87461853,66.25348663,74.24105072,75.90187836,,,75.25131989,,,68.00125122,,,
Colombia,COL,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,35.78015137,53.18452072,54.14189911,57.42449188,58.44443893,,,,,,,,75.24024963,78.15632629,77.78257751,72.3412323,70.58802032,74.73058319,74.17253876,73.96185303,86.86042786,77.61591339,89.76293182,87.97132874,86.38111115,90.62122345,91.81697083,,98.0774231,99.45536041,98.6861496,,95.25826263,,102.333107,106.2967072,112.6996765,115.1482468,114.8281326,119.9629669,118.4399109,115.2384033,109.1177979,99.07472229,98.60758209,99.43528748,101.1494675,105.9745102,106.3833237,106.4235764,103.7780991,
Comoros,COM,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,55.39503098,48.5958786,,,,,42.11634064,,,,,,,47.26137161,,,54.58172989,53.79291916,60.44427109,,,61.55028915,64.27851105,,,,,76.65895844,80.48532104,,69.40908051,77.23446655,,,,
Cabo Verde,CPV,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,12.52087021,13.79389,,15.31291962,13.62397957,15.02997017,15.04570007,25.25012016,24.00194931,19.64022064,30.05997086,30.68729019,35.92108917,40.37619019,46.36526871,,59.44654083,,,,74.29311371,,,,103.7211685,,108.3196335,100.3220596,99.82525635,101.2770004,96.78279877,85.27742767,98.38968658,94.4796524,102.328392,96.82028961,100.0737534,97.48734283,97.16567993,91.49549103,91.91007233,95.30651093,90.13056946,88.13062286,89.33860016,98.03765869,,
Costa Rica,CRI,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,75.37574768,76.40733337,85.99593353,88.94542694,87.41291046,87.81124115,83.33274841,91.58763885,89.08950043,85.75704193,86.1958313,89.66034698,90.13729858,,,79.31034088,78.81963348,75.81501007,76.42445374,75.95188904,,80.44039917,82.43562317,83.94210052,83.0151825,81.72074127,84.16709137,,,84.73879242,89.54873657,92.53456116,93.61451721,,94.45744324,93.75507355,91.29454803,93.64820862,96.21720123,98.30651855,99.89012909,105.7038116,103.4794998,99.00431061,98.14424133,99.89063263,98.15663147,97.52011108,99.1428299,102.4376221,104.9310226,104.1330643
Caribbean small states,CSS,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,92.5177536,92.18331146,94.51335907,94.29611206,95.36430359,92.7587204,94.58673859,95.76332092,94.64763641,94.06596375,91.33943176,92.17829132,94.12197113,95.67549896,97.72734833,98.06508636,97.13034058,95.86141205,94.05487823,92.15357208,90.24960327,90.49960327,91.15865326,92.99349976,94.68862915,93.96295929,88.52552032,90.17720795,89.18090057,91.05254364,91.81170654,91.9183197,91.44003296,91.89544678,93.05548859,91.85874939,93.06639099,93.30003357,92.92366791,,,,,,,,
Cuba,CUB,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,72.27805328,63.72822189,,,,,,,,,,,,,,,,,,,,,,,,,,,94.79353333,95.532341,95.94764709,102.3893738,99.04055023,97.10443115,98.35176086,96.59127808,94.99459076,89.46588898,95.86504364,95.55158234,96.1026001,94.95478058,94.77935028,99.73029327,97.86981964,93.37153625,90.33091736,84.53137207,87.06481934,95.51837921,101.0564194
Curacao,CUW,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.9622574,103.4188004,97.67442322,102.4735031,,82.85713959,91.82389832,77.70700836,97.78481293,82.91139221,,,101.5290527,102.0649033,90.51724243,,,,,89.14141083,,,
Cyprus,CYP,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,88.79649353,87.13011169,84.92204285,86.90808105,78.92637634,77.35913086,71.37241364,76.75544739,83.12119293,73.44851685,90.23641968,78.99703979,78.44165802,76.26992035,58.44519043,61.01411819,68.77114105,77.60134888,76.51376343,78.72302246,83.92304993,81.66693878,100.5585403,104.5259476,99.81298065,96.12532043,99.21381378,,99.82804871,97.27323151,98.57837677,100.9027634,103.1925201,86.99913025,99.85102081,101.4114075,99.95973206,99.67637634,103.3221207,100.8589172,101.5515671,99.69033051,97.85682678,100.0972137,97.79705048,98.93182373,101.156868,101.8606796,102.1251984,99.40184021,
Czechia,CZE,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.74861908,104.1809769,,107.5805435,,,99.67945099,99.95540619,99.71201324,104.450943,98.33081055,100.0136108,98.61827087,93.19715118,95.01145172,98.37384033,103.8087234,106.6049118,103.1950226,100.4629288,100.2466888,98.30654144,96.10888672,97.4783783,97.50189972,98.78359222,102.3679886,101.0673676,
Germany,DEU,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4207077,96.5617981,96.21008301,96.77906036,98.70239258,,101.0593109,104.0380173,105.5423889,101.5063171,100.5216217,98.95947266,96.76303101,98.57837677,103.7544479,101.9935684,102.2805176,101.9552078,101.3035965,98.82685089,98.30922699,97.24284363,98.98635101,98.30187988,99.11704254,101.5877686,99.84404755,99.38883209,
Djibouti,DJI,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,11.71568966,12.63062,12.27997017,14.09370041,12.04354,,,,,,,,,,,,,,,,,,,,,,,19.12817001,21.79700089,21.37561989,,,,28.95325089,34.21165085,,41.35263824,,,54.48617172,,50.75242996,60.25267029,67.06703949,69.2826004,66.35028839,69.90912628,67.83109283,65.1699295,63.01226044
Dominica,DMA,"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.757988,,,,,,,,,,,142.1227264,125.5284576,118.305603,102.7104111,93.17871857,96.32546234,97.18669891,86.19355011,88.59059906,84.91619873,78.45706177,76.03053284,93.40836334,96.5870285,96.37680817,104.2635727,111.5226288,115.5982895,,,,,100.6944427
