Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Armenia,ARM,"Population, female",SP.POP.TOTL.FE.IN,979519,1013306,1047383,1080947,1113577,1145390,1176470,1207119,1237892,1268487,1298093,1328287,1360258,1393239,1427332,1462688,1498440,1535546,1574738,1604622,1622851,1639588,1657028,1675528,1692940,1708118,1722333,1735457,1743608,1783917,1837371,1867291,1850249,1799431,1763232,1741289,1731224,1719117,1705134,1689409,1672231,1656074,1644189,1636478,1629805,1623111,1615571,1607400,1599812,1593247,1587223,1581404,1576538,1572193,1568781,1565465,1561467,1556899,1551563,1545834,1540097,1534475
American Samoa,ASM,"Population, female",SP.POP.TOTL.FE.IN,9771,10039,10363,10703,11059,11434,11802,12161,12541,12944,13284,13531,13748,13964,14193,14466,14774,15079,15379,15682,16093,16654,17275,17930,18618,19339,20090,20868,21679,22526,23281,23874,24422,24976,25539,26103,26663,27209,27730,28234,28572,28649,28608,28521,28392,28230,28044,27842,27626,27406,27189,26951,26678,26369,26017,25629,25208,24762,24290,23786,23268,22746
Antigua and Barbuda,ATG,"Population, female",SP.POP.TOTL.FE.IN,28965,29413,29798,30191,30666,31220,31777,32353,32949,33569,34003,34148,34142,34061,33974,33917,33923,34011,34135,34294,34456,34568,34664,34772,34682,34380,34071,33755,33434,33120,32834,32916,33487,34212,34974,35779,36627,37483,38293,39039,39748,40383,40894,41329,41753,42209,42715,43270,43883,44522,45097,45588,46022,46401,46748,47087,47388,47658,47910,48156,48428,48709
Australia,AUS,"Population, female",SP.POP.TOTL.FE.IN,5084739,5188172,5321898,5430032,5540379,5652082,5785020,5860957,5966990,6094525,6218241,6435659,6558085,6661634,6835807,6925879,7002352,7088641,7178266,7262175,7356160,7474302,7604313,7707992,7800926,7904467,8019165,8144659,8282694,8426644,8555086,8669304,8771556,8853961,8943067,9046575,9161956,9267611,9365746,9473113,9585767,9711085,9821222,9933517,10038538,10158934,10292899,10475417,10678307,10894107,11064202,11220985,11420547,11623605,11807077,11988344,12185645,12393526,12582741,12769708,12924403,12936002
Austria,AUT,"Population, female",SP.POP.TOTL.FE.IN,3764841,3783524,3804067,3825209,3847012,3867107,3888124,3911038,3927504,3938506,3949146,3963093,3981549,3998726,4005068,3998352,3992908,3993560,3990008,3983555,3982428,3988575,3987800,3979057,3975799,3973845,3971607,3969220,3969529,3980843,4002701,4033849,4071050,4098726,4110125,4114132,4118420,4121782,4124523,4130055,4136746,4147958,4163296,4180186,4203243,4228220,4246451,4259257,4271832,4281722,4290783,4303100,4319072,4340305,4368440,4406154,4444108,4472047,4492714,4511982,4529542,4548093
Azerbaijan,AZE,"Population, female",SP.POP.TOTL.FE.IN,2045979,2121140,2181040,2242530,2314689,2381665,2447746,2508906,2566507,2623306,2676961,2731838,2785549,2836075,2885468,2932119,2981004,3036074,3094067,3147090,3194886,3246858,3299902,3353904,3410333,3463126,3514478,3568379,3617415,3666548,3714277,3760660,3815653,3872373,3926779,3977930,4024032,4068551,4112846,4150048,4179613,4206436,4232123,4258445,4288067,4322172,4359694,4398946,4481467,4567635,4617522,4673150,4730889,4787835,4843397,4897308,4949205,4995509,5036324,5076093,5110146,5135000
Burundi,BDI,"Population, female",SP.POP.TOTL.FE.IN,1419148,1453599,1489006,1519025,1561243,1603686,1641282,1681553,1720242,1756047,1792516,1834298,1834918,1833572,1877890,1921905,1962181,2010045,2065682,2114360,2201733,2290384,2345807,2407469,2464910,2517439,2564034,2621976,2679832,2731686,2787001,2842673,2916527,2823497,2839867,3012894,3012349,3009493,3065465,3138022,3202178,3282043,3374234,3480322,3609997,3743946,3878308,4020991,4187327,4402636,4610573,4774277,4943284,5119502,5291412,5407378,5495462,5621203,5789861,5980560,6153627,6319427
Belgium,BEL,"Population, female",SP.POP.TOTL.FE.IN,4667532,4684322,4703850,4739832,4785461,4829627,4862814,4890437,4910379,4925093,4930568,4940061,4960265,4976887,4993406,5008581,5018345,5025334,5030602,5035561,5041568,5041794,5040429,5039747,5039566,5041213,5042826,5046723,5062638,5080811,5095639,5114249,5134710,5154597,5170235,5180981,5191148,5203539,5214277,5225912,5238286,5255887,5278890,5300080,5322057,5350390,5384595,5422833,5464009,5506057,5554185,5624101,5655983,5679319,5700881,5729707,5754446,5772621,5794664,5821746,5842749,5867228
Benin,BEN,"Population, female",SP.POP.TOTL.FE.IN,1315471,1333567,1353255,1374361,1396864,1420715,1445937,1472353,1500013,1528872,1558830,1590175,1623108,1657562,1693542,1731379,1771430,1813879,1858772,1906416,1957205,2011068,2067582,2126426,2187684,2251389,2317628,2386631,2458169,2532102,2608813,2688403,2770448,2894012,3001627,3061849,3138689,3228231,3325108,3425981,3529498,3635278,3743597,3855563,3971305,4098638,4225023,4345111,4472279,4603557,4738442,4876973,5018490,5163111,5313453,5469779,5630820,5796573,5965949,6138319,6312347,6487184
Burkina Faso,BFA,"Population, female",SP.POP.TOTL.FE.IN,2348133,2388880,2430789,2473856,2518513,2565282,2613528,2663209,2714692,2767361,2821215,2875573,2930778,2988242,3049295,3114751,3185073,3262042,3345535,3434330,3528021,3625180,3725787,3831322,3941764,4056018,4171406,4286719,4402927,4520467,4640485,4760745,4881710,5006076,5134815,5268597,5405710,5546538,5697870,5860926,6031953,6210869,6396427,6589269,6790360,6999405,7215087,7433720,7655083,7882660,8117350,8361047,8615632,8875716,9140912,9412600,9688281,9965204,10241740,10520378,10804024,11089986
Bangladesh,BGD,"Population, female",SP.POP.TOTL.FE.IN,24239411,24966888,25738295,26531749,27346287,28181674,29035273,29926518,30842888,31748108,32543499,33072770,33678425,34540812,35404723,36267944,37123506,38014933,38956133,39911390,40920651,42018531,43190811,44401026,45612861,46801007,47936251,49024596,50103325,51177760,52266330,53279681,54278369,55345149,56436564,57528346,58576743,59669865,60847389,62068650,63309967,64587346,65885157,67154861,68397392,69574712,70599279,71536401,72384496,73217854,74177517,75175322,76192087,77243140,78287731,79294197,80325176,81371533,82369393,83352043,84357236,85358163
Bulgaria,BGR,"Population, female",SP.POP.TOTL.FE.IN,3997374,4031828,4063439,4092955,4123575,4151859,4177737,4203341,4233091,4265825,4294039,4318171,4339052,4362467,4392540,4414846,4435329,4460015,4466887,4475085,4495829,4513774,4530219,4545329,4560365,4564938,4568585,4580234,4590335,4541886,4465765,4426635,4384506,4355746,4347563,4334747,4318203,4296802,4272770,4252467,4233564,4151243,4062190,4029614,3998634,3967621,3936002,3904900,3874850,3847057,3819078,3792364,3768443,3745957,3723787,3699155,3672681,3645616,3618547,3592085,3570641,3542329
Bahrain,BHR,"Population, female",SP.POP.TOTL.FE.IN,71219,73951,76723,79549,82461,85419,88370,91284,94192,97106,100010,103376,107492,111996,116756,121769,127007,132425,137982,143641,149348,154940,160467,166216,172311,178762,185538,192582,199816,207167,214558,222040,229648,237331,245088,252912,260792,268694,276567,284326,291872,299108,305882,316143,334293,356731,379474,402471,425579,448332,459645,458268,459516,474410,500430,520442,532635,544637,555346,560779,557039,554616
"Bahamas, The",BHS,"Population, female",SP.POP.TOTL.FE.IN,58620,61178,63903,66743,69642,72644,75838,79239,82843,86454,89517,92017,94339,96532,98646,100706,102791,104968,107168,109348,111501,113748,116151,118643,121216,123900,126663,129422,132161,134958,137614,140316,143416,146638,149688,152605,155441,158215,160986,163570,166136,168662,171053,173516,176046,178628,181302,184090,186970,189903,192834,195497,197810,199843,201821,203844,205736,207529,209250,210821,211965,212878
Bosnia and Herzegovina,BIH,"Population, female",SP.POP.TOTL.FE.IN,1686332,1718164,1749634,1780449,1810358,1839153,1866527,1892124,1915993,1938332,1959266,1979082,1997990,2015852,2032813,2049265,2065200,2080463,2095110,2109452,2124331,2140563,2158216,2176644,2194608,2210865,2225581,2238952,2250491,2259736,2266919,2272008,2166508,2013614,1931579,1928002,2006656,2076142,2109108,2127624,2140676,2148452,2149630,2141631,2120890,2096405,2078331,2052735,2019566,1985936,1951825,1916984,1881866,1851910,1825837,1799407,1774917,1752004,1729892,1708207,1685553,1660775
Belarus,BLR,"Population, female",SP.POP.TOTL.FE.IN,4532615,4560131,4591191,4624422,4658845,4693349,4728461,4765421,4802593,4838915,4873256,4905962,4938435,4969249,4996709,5019628,5040453,5066273,5098062,5129091,5160255,5195211,5229975,5265001,5299822,5333058,5365430,5396445,5407408,5418746,5424768,5424733,5434778,5445711,5440986,5427298,5413250,5394834,5374327,5353387,5330773,5305393,5273950,5240024,5207144,5174635,5145919,5124332,5108481,5098294,5090285,5082430,5077517,5076616,5080019,5087057,5091613,5086699,5077117,5069468,5052036,5034947
Belize,BLZ,"Population, female",SP.POP.TOTL.FE.IN,46109,47227,48371,49646,51047,52523,54078,55700,57355,58959,60233,61189,62039,62809,63534,64487,65701,66938,68192,69507,71040,72805,74648,76501,78376,80278,82197,84143,86129,88148,90169,92062,93889,95794,97891,100445,103579,107211,111102,115020,118866,122772,126827,130958,135162,139428,143749,148119,152520,156923,160877,164408,167988,171620,175274,178905,182514,186106,189707,193151,196111,198800
Bermuda,BMU,"Population, female",SP.POP.TOTL.FE.IN,21845,22324,22845,23364,23926,24487,24904,25374,25847,26321,26807,26667,26569,26462,26350,26237,26425,26617,26808,26990,27486,27708,27931,28193,28459,28708,28967,29229,29510,29791,30064,29947,29773,29971,30211,30459,30686,30914,31182,31395,31707,32069,32287,32493,32698,32914,33115,33320,33533,33716,33451,33166,33286,33395,33469,33515,33186,32880,32943,32985,33021,33057
Bolivia,BOL,"Population, female",SP.POP.TOTL.FE.IN,1878723,1917392,1957036,1997772,2039526,2082309,2126307,2171565,2218162,2266120,2315329,2365964,2418044,2471505,2526367,2582453,2639818,2698566,2758506,2819329,2880816,2942854,3005490,3068843,3133073,3198483,3265226,3333551,3403543,3474829,3547153,3620306,3693811,3764950,3833292,3901215,3969573,4038449,4108227,4179935,4252810,4327765,4405377,4484341,4564350,4645403,4728586,4813399,4898788,4984968,5071897,5159435,5247336,5335470,5423617,5511477,5599297,5686999,5774185,5860919,5943886,6020925
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,36434422,37566819,38718365,39893199,41083812,42281945,43477993,44668772,45856024,47045815,48249510,49466950,50700362,51955901,53224988,54509482,55819649,57163358,58542728,59950908,61387462,62842666,64306211,65777066,67247792,68711168,70158889,71589812,73004388,74400370,75779994,77129183,78445848,79750902,81055777,82360145,83659561,84953439,86240036,87504861,88749390,89978663,91173105,92310671,93418462,94515633,95583318,96616434,97612571,98581682,99546667,100509285,101450818,102366379,103274465,104179515,105065188,105937948,106812144,107663080,108417015,109034931
Barbados,BRB,"Population, female",SP.POP.TOTL.FE.IN,123195,123561,123735,123888,124014,124103,124182,124254,124293,124364,124520,124843,125326,125850,126389,126948,127517,128101,128715,129324,129999,130712,131349,131951,132527,133036,133467,133822,134079,134269,134373,134621,135084,135546,135985,136357,136672,136957,137220,137520,137797,138220,138845,139459,140061,140649,141234,141849,142532,143198,143669,143988,144282,144561,144824,145073,145315,145542,145752,145957,146165,146366
Brunei Darussalam,BRN,"Population, female",SP.POP.TOTL.FE.IN,40150,42002,43864,45811,47842,49940,52096,54310,56581,58904,61270,63642,65993,68338,70713,73128,75564,78038,80584,83210,85907,88715,91810,95170,98663,102294,106052,109907,113822,117775,121736,125638,129412,133094,136742,140362,143959,147512,151018,154516,158010,161470,164895,168286,171603,174832,177979,181055,184074,187059,190046,192834,195401,197935,200411,202801,205084,207238,209257,211173,213048,214922
Bhutan,BTN,"Population, female",SP.POP.TOTL.FE.IN,106924,109650,112602,115767,119091,122600,126293,130172,134240,138506,142967,147601,152401,157387,162558,167922,173492,179274,185270,191434,197727,204150,210690,217378,224218,231184,238298,245557,252912,260362,267469,272279,262192,250474,250980,254292,259374,264173,269372,275291,281372,287339,293189,298916,304548,309765,314269,318380,322355,326213,329998,333752,337498,341210,344791,348088,351127,354282,357467,360356,363099,365818
Botswana,BWA,"Population, female",SP.POP.TOTL.FE.IN,267339,273686,280250,287087,294233,299930,304050,308188,312370,316634,321420,328419,339370,353709,369718,386726,404779,423836,443827,464658,486031,507151,527268,546908,567010,587838,609365,631322,653298,675082,696601,717807,738620,759184,779611,799504,818532,836761,854484,871895,889044,905932,921914,937127,952562,968750,985889,1004059,1023285,1043322,1064032,1084868,1105424,1126330,1147988,1170371,1193829,1218333,1242730,1266499,1289694,1310688
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,849909,865264,881363,898233,915973,934706,954524,975497,997652,1020732,1043601,1065479,1086623,1107729,1129399,1151679,1167812,1177495,1187197,1197059,1207163,1217623,1228515,1239836,1251647,1264009,1276882,1290483,1309487,1342645,1385890,1430958,1478369,1527601,1577528,1623042,1667724,1716139,1765292,1816073,1868390,1912220,1956147,2004444,2048743,2095704,2138644,2179485,2225544,2274463,2322555,2358829,2379753,2394914,2394233,2405515,2448502,2495603,2545524,2603472,2670940,2728875
Canada,CAN,"Population, female",SP.POP.TOTL.FE.IN,8850971,9040809,9223459,9409673,9600426,9786254,9978791,10166027,10337254,10486530,10633366,10944078,11074818,11220294,11386049,11562890,11727923,11879181,12011533,12142187,12308181,12468647,12625723,12759260,12887917,13012495,13145756,13321982,13500396,13751532,13963399,14138442,14312897,14478794,14643061,14799796,14956383,15103624,15229531,15353410,15492171,15654835,15821972,15963984,16112389,16263117,16427039,16588348,16769997,16962677,17152260,17318413,17500980,17680037,17855282,17988513,18192222,18406915,18659541,18921018,19136874,19240835
Central Europe and the Baltics,CEB,"Population, female",SP.POP.TOTL.FE.IN,47283873,47676149,48041545,48436887,48857715,49202597,49542143,49986920,50406350,50768203,51035391,51290509,51656511,52039054,52456829,52922189,53389856,53817906,54178321,54492822,54794696,55097607,55407594,55699987,55981030,56243041,56498923,56749148,56963966,57042030,57031966,56915906,56760212,56752802,56770720,56721318,56630040,56554776,56491692,56433431,56124654,55716493,55366555,55196253,55044141,54890704,54748712,54545043,54346886,54232892,54023740,53881381,53744949,53620480,53496159,53355228,53199616,53049259,52923890,52831512,52711617,52333838
Switzerland,CHE,"Population, female",SP.POP.TOTL.FE.IN,2746695,2799450,2867533,2925748,2971603,3003824,3033206,3068777,3105551,3139000,3161351,3178212,3203034,3228610,3248189,3248934,3232679,3223545,3225257,3232423,3245225,3262098,3279780,3292972,3303960,3317420,3333817,3354023,3377780,3403458,3435750,3477958,3516951,3548723,3577019,3601427,3617997,3626908,3637528,3653851,3673543,3696843,3723614,3749181,3772931,3794856,3816235,3845997,3888817,3933290,3971373,4012325,4051266,4093847,4140499,4184583,4225760,4261807,4292467,4322218,4352384,4383460
Channel Islands,CHI,"Population, female",SP.POP.TOTL.FE.IN,56634,56949,57429,57994,58584,59199,59854,60527,61174,61763,62325,62924,63563,64184,64762,65266,65641,65883,66069,66241,66394,66702,67238,67832,68442,69058,69723,70488,71285,72045,72740,73228,73466,73625,73734,73789,73929,74189,74456,74693,74886,75196,75678,76193,76729,77271,77824,78402,78982,79568,80148,80566,80938,81480,81996,82592,83329,84025,84906,85807,86526,87239
Chile,CHL,"Population, female",SP.POP.TOTL.FE.IN,4049247,4137142,4225757,4313561,4400944,4488093,4573538,4658087,4742709,4827029,4910882,4994475,5077623,5161493,5245766,5330494,5414619,5498621,5584389,5669474,5753879,5839368,5926028,6013032,6101695,6193559,6289102,6388742,6491774,6597765,6706184,6817011,6928025,7036702,7143824,7248291,7349292,7447971,7543261,7634572,7724143,7812408,7899562,7984277,8065716,8146398,8227292,8308544,8392523,8479648,8566180,8651769,8736586,8821764,8911559,9004176,9111944,9254199,9420150,9589082,9720358,9818163
China,CHN,"Population, female",SP.POP.TOTL.FE.IN,325931004,322879907,325743240,334009147,341994742,350380356,360413808,369907738,379774515,390378367,401346258,412540476,422812169,432591471,441653688,449579425,456651788,462982313,469289080,475655113,481713423,487970075,495239625,502474257,509130952,516103160,523793161,532177132,540705000,548913728,556822315,564229094,570952344,577345024,583693488,589847916,595844663,601754660,607370114,612456939,617082063,621436557,625534993,629369651,633047012,636711861,640203444,643486317,646729218,649891191,652992671,656550787,661013974,665447390,669700351,673690703,677689913,682006802,685468978,688179990,690171848,691219627
Cote d'Ivoire,CIV,"Population, female",SP.POP.TOTL.FE.IN,1827109,1893505,1964454,2039339,2117673,2199374,2284488,2373280,2465982,2563878,2668943,2782354,2904123,3033443,3169899,3313314,3451561,3585875,3727906,3876950,4033209,4195695,4363304,4535162,4710005,4886725,5065248,5246142,5432217,5637845,5862374,6092650,6328300,6568705,6813327,7064167,7322218,7586769,7851363,8098881,8330187,8557174,8774649,8983181,9188308,9390312,9590427,9789603,9990049,10193879,10402077,10618615,10845584,11077831,11343487,11646213,11956537,12275633,12600637,12929424,13264169,13600535
Cameroon,CMR,"Population, female",SP.POP.TOTL.FE.IN,2621418,2675878,2733790,2795102,2858830,2925090,2994139,3066162,3141465,3220218,3302654,3389095,3479404,3573319,3670610,3771255,3870947,3969791,4077495,4192051,4329782,4483675,4591728,4687501,4820322,4966849,5119583,5278837,5440548,5604349,5774111,5947026,6121989,6300581,6481175,6662381,6844174,7027135,7213909,7406268,7602707,7803427,8013386,8232772,8459566,8691569,8928603,9177878,9439512,9709582,9987915,10272225,10562805,10861379,11193372,11548794,11896708,12235344,12575513,12926852,13280460,13634397
"Congo, Dem. Rep.",COD,"Population, female",SP.POP.TOTL.FE.IN,7975587,8170479,8374315,8587665,8810368,9046338,9295559,9556534,9827796,10103756,10384074,10660424,10936079,11221867,11514847,11812517,12108641,12404220,12778701,13217399,13614618,13982935,14357555,14744184,15175062,15628548,16084504,16571573,17084716,17618473,18195981,18797064,19364049,19989114,20956530,21846703,22270929,22632027,23184201,23872901,24582226,25333610,26117751,26895414,27703894,28573264,29491075,30446631,31428249,32441587,33506062,34641217,35816345,37051204,38343735,39659606,41052552,42483740,43890310,45306478,46787187,48319268
"Congo, Rep.",COG,"Population, female",SP.POP.TOTL.FE.IN,536077,550283,565074,580530,596688,613576,631244,649644,668856,688963,709923,731815,754678,778389,802815,825580,846385,867330,888379,909386,930396,951516,972517,993087,1018468,1049265,1080811,1113060,1145648,1178665,1211708,1245051,1278660,1314536,1351268,1386962,1423251,1453519,1486105,1525600,1583527,1642642,1680249,1726060,1784261,1848198,1917479,1988080,2053874,2136899,2226558,2299164,2363092,2419983,2478001,2537273,2598046,2660503,2724474,2788979,2854622,2921372
Colombia,COL,"Population, female",SP.POP.TOTL.FE.IN,7875810,8121112,8373228,8630444,8891960,9156915,9421433,9684298,9945164,10201733,10455025,10701994,10945364,11191768,11439917,11690305,11942621,12206091,12484354,12771020,13068691,13373253,13682869,14001947,14326594,14646986,14966988,15293772,15627949,15970252,16319819,16666875,17012155,17362186,17714470,18063500,18406405,18747884,19086068,19418369,19745251,20068231,20387506,20699708,21004780,21300552,21586300,21863668,22128690,22387951,22648175,22903701,23149997,23387544,23617367,23847355,24107989,24477100,24945907,25408106,25791075,26101321
Comoros,COM,"Population, female",SP.POP.TOTL.FE.IN,97681,99468,101331,103251,105222,107266,109393,111818,114609,117584,120723,124047,127572,131288,135207,139263,143532,148074,152819,157766,162796,167712,172464,177245,182230,187419,192798,198351,204061,209932,215832,221595,227093,232331,237495,242732,248098,253590,259190,264635,270024,275663,281375,286981,292358,297762,303423,309235,315224,321463,327981,334786,341836,349095,356575,364283,372233,379781,386817,393860,401263,408923
Cabo Verde,CPV,"Population, female",SP.POP.TOTL.FE.IN,110979,113382,116520,119885,123338,126893,130558,134364,138331,142465,146528,149774,152020,153959,155965,158100,160230,162220,164167,166119,168436,170777,172811,174839,176809,178737,180667,182632,184648,186885,189934,193917,198431,203229,208089,212870,217613,222382,227112,231762,235732,238957,241967,244781,247428,249955,252389,254737,256967,259039,261618,264908,268138,271223,274372,277489,280659,283971,287116,290056,292895,295580
Costa Rica,CRI,"Population, female",SP.POP.TOTL.FE.IN,663847,688649,713982,739670,765598,791641,817588,843295,868465,893410,918450,943506,968691,994152,1020256,1047158,1075026,1104065,1134303,1165709,1198113,1231380,1265740,1301226,1337628,1374874,1412683,1450648,1488688,1527149,1566500,1606731,1647671,1689167,1730927,1772777,1814502,1856202,1897353,1937516,1976587,2013719,2048540,2081709,2114018,2145820,2177342,2208704,2240104,2271211,2301231,2330459,2359193,2387107,2414032,2440173,2465916,2490983,2515262,2538156,2558483,2575216
Caribbean small states,CSS,"Population, female",SP.POP.TOTL.FE.IN,2165436,2204090,2241218,2278273,2315495,2352334,2388696,2424365,2459162,2493425,2526624,2560255,2592669,2622314,2651250,2679463,2706983,2733900,2760561,2786994,2814620,2844169,2874693,2905098,2933974,2961802,2987928,3010515,3031022,3051070,3069551,3090166,3115309,3141076,3167284,3194725,3221712,3247592,3273019,3297259,3319576,3341120,3363111,3385553,3408163,3430454,3452517,3473831,3494385,3515519,3536494,3557136,3579927,3604171,3628240,3651814,3674260,3695743,3728153,3752901,3768158,3787953
Cuba,CUB,"Population, female",SP.POP.TOTL.FE.IN,3547655,3624519,3703715,3785934,3870101,3954131,4036930,4118605,4199666,4280685,4361899,4439872,4510418,4573551,4630047,4679669,4722075,4757190,4785374,4807395,4824362,4845535,4878582,4918993,4961799,5005673,5050762,5098011,5148428,5200248,5250938,5295647,5332032,5362211,5388739,5413614,5436930,5459797,5483197,5507169,5530949,5553672,5574743,5592995,5608307,5620997,5630486,5637238,5642613,5647821,5653239,5659068,5666230,5674433,5681712,5687872,5691556,5691861,5691084,5688414,5683880,5667114
Curacao,CUW,"Population, female",SP.POP.TOTL.FE.IN,62736,63479,64702,66001,67222,68356,69133,69936,71091,72313,73481,74906,75175,74877,75705,76206,76449,76583,76118,75978,76190,76616,77494,78152,78673,79190,79280,78777,77759,76676,75995,75604,75489,75853,76209,76672,77498,78070,76982,74526,71759,69297,69407,70881,72171,74107,76129,77748,78831,79445,80563,81834,82447,83143,84083,85063,85884,86109,83537,81416,80772,79361
